paper_id,title,authors,year,venue,arxiv_or_doi_url,official_code_url,category,sub_category,one_sentence_contribution,technical_summary,key_equations_or_ideas,inference_relevance,hardware_or_system_relevance,limitations,citation_status,last_verified_date,document_link
P-029,TVM: An Automated End-to-End Optimizing Compiler for Deep Learning,"Chen, Tianqi; Moreau, Thierry; Jiang, Ziheng; Zheng, Lianmin; Yan, Eddie; Cowan, Meghan; Shen, Haichen; Wang, Leyuan; et al.",2018,OSDI 2018,https://arxiv.org/abs/1802.04799,https://github.com/apache/tvm,Compilers,端到端张量编译,把「算子实现」从人工编写的库调用变成可搜索的调度空间，使同一模型能自动编译到多种后端而不必为每种硬件重写 kernel。,传统路径是「框架 → 厂商算子库」，新硬件或新算子都需要人工补写 kernel。TVM 把计算的**语义**与**调度**分离：语义描述算什么，调度描述怎么循环、怎么分块、怎么并行、怎么用片上存储。同一语义可以生成大量合法调度，编译器在这个空间里搜索并用代价模型/实测挑选。,计算与调度分离；调度原语（tiling、fusion、vectorize、cache_read）构成搜索空间；用实测反馈而非解析模型作为最终判据,推理部署面对的后端远比训练多样（服务器 GPU、端侧 NPU、CPU），而每种后端的算子库覆盖度不同——编译路线的价值正在于填补覆盖缺口，这与本库模块 04 第 6 章讨论的可移植性问题是同一件事。,调度空间的形状由硬件的存储层次与并行结构决定；同一模型在不同后端上的最优调度可以完全不同，这是编译而非配置能解决的问题。,本库未读原文，论文自述的加速比与覆盖后端数量均未采信；搜索需要大量实测，编译时间可能远超推理本身，不适合频繁变形的动态图；自动搜索出的 kernel 与厂商深度优化库的差距随后者投入而变，「编译一定更快」不成立，需按算子与后端分别评估。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/06_compiler_runtime_and_kernel_papers.md
P-030,Ansor: Generating High-Performance Tensor Programs for Deep Learning,"Zheng, Lianmin; Jia, Chengfan; Sun, Minmin; Wu, Zhao; Yu, Cody Hao; Haj-Ali, Ameer; Wang, Yida; Yang, Jun; et al.",2020,OSDI 2020,https://arxiv.org/abs/2006.06762,https://github.com/apache/tvm,Compilers,自动调度搜索,指出手写的调度模板本身限制了搜索空间的上限，改为从计算定义自动生成分层的搜索空间，无需人工模板。,早期自动调优要求工程师先写一个带可调参数的调度模板，搜索只在模板内部进行——**模板没想到的优化，搜索永远找不到**。本文改为分层生成：先在高层枚举结构性的程序草图（循环结构、融合方式），再在低层随机采样细节参数，并用学习到的代价模型引导采样，同时在多个子图之间按对端到端时延的贡献分配调优预算。,搜索空间的上限由生成方式而非搜索算法决定；草图（高层结构）+ 标注（低层参数）的分层采样；按子图对端到端时延的边际贡献分配调优预算,把「要不要为这个算子调优」变成一个可量化的预算分配问题——与本库模块 04 第 11 章「先 profile 再优化」的立场一致：占端到端时延 1% 的算子，优化到极致也只能省 1%。,搜索依赖真机实测，因此调优结果与具体设备型号绑定；换卡即需重调，这是编译路线的隐性运维成本。,本库未读原文，论文自述的加速比与调优时间均未采信；调优成本高，且结果不跨设备复用；对动态形状（可变 batch、可变序列长度）的支持是该路线的长期难点，而这恰恰是 LLM 推理的常态。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/06_compiler_runtime_and_kernel_papers.md
P-031,Triton: An Intermediate Language and Compiler for Tiled Neural Network Computations,"Tillet, Philippe; Kung, H. T.; Cox, David",2019,MAPL 2019,https://pldi19.sigplan.org/details/mapl-2019-papers/1/Triton-An-Intermediate-Language-and-Compiler-for-Tiled-Neural-Network-Computations,https://github.com/triton-lang/triton,Kernels,分块抽象的 kernel 语言,把 kernel 编程的基本单位从「线程」提升到「张量块」，让编译器负责线程映射与共享内存管理，作者只需描述分块策略。,手写 CUDA 需要同时管理线程索引、共享内存搬运、bank 冲突与同步，这些细节与算法本身无关却占据绝大部分心智负担。Triton 让程序员以**块**为单位写代码——加载一块、算一块、写回一块，块内的线程划分、寄存器分配与访存合并由编译器完成。,抽象层级：thread（CUDA）→ tile（Triton）；块大小成为显式的调优参数；编译器负责块内的线程映射与 shared memory 调度,LLM 推理反复遇到「新的注意力变体没有现成 kernel」的问题（见本库模块 13 第 02 章 P-002 的局限一节）。Triton 把写一个可用 kernel 的门槛从数周降到数天，这直接决定了新模型结构能多快被推理引擎支持。,块大小与硬件的 shared memory 容量、warp 结构强相关，仍需按目标 GPU 调；抽象降低了心智负担但没有消除硬件差异。,本库未读原文，论文自述的性能对比与代码行数节省均未采信；抽象层级提高意味着放弃部分底层控制，在需要极致榨取的场景下仍可能不敌手写汇编/内联 PTX；对非规则计算（稀疏、分支密集）的表达能力有限。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/06_compiler_runtime_and_kernel_papers.md
P-032,MLIR: Scaling Compiler Infrastructure for Domain Specific Computation,"Lattner, Chris; Amini, Mehdi; Bondhugula, Uday; Cohen, Albert; Davis, Andy; Pienaar, Jacques; Riddle, River; Shpeisman, Tatiana; et al.",2021,CGO 2021,https://conf.researchr.org/details/cgo-2021/cgo-2021-papers/2/MLIR-Scaling-Compiler-Infrastructure-for-Domain-Specific-Computation,https://github.com/llvm/llvm-project,Compilers,可扩展多层 IR 基础设施,提供一套可自定义方言的多层中间表示框架，使不同抽象层级的优化可以共存于同一基础设施，而不必每个领域各造一套编译器。,深度学习编译栈存在大量重复造轮子：每个框架各有一套图 IR，彼此之间靠脆弱的转换器连接，通用优化被反复重写。MLIR 提供统一的 IR 骨架与**方言**机制：高层方言表达张量运算，低层方言表达循环与向量指令，逐级下降（progressive lowering），每一级都能复用同一套 pass 基础设施。,方言（dialect）：同一 IR 框架下的领域特定操作集合；逐级下降而非一步到底；复用统一的 pass 管理、验证与打印基础设施,它本身不产生推理加速，但当代多数推理编译栈（含各厂商的图编译器）都建立在其上——理解 MLIR 的分层观，才能读懂「这个优化发生在哪一层」这类问题。,方言机制使新硬件的接入成本下降：厂商只需定义自己的低层方言与下降规则，而不必从零实现一个完整编译器。,本库未读原文，论文自述的采用情况与工程收益未采信；它是**基础设施而非优化**——把它列入「性能优化论文」是常见误读；方言的自由度也带来碎片化风险：各家方言互不兼容时，复用只发生在框架层而非优化层。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/06_compiler_runtime_and_kernel_papers.md
P-033,PyTorch 2: Faster Machine Learning Through Dynamic Python Bytecode Transformation and Graph Compilation,"Ansel, Jason; Yang, Edward; He, Horace; 等（完整作者名单 待核实）",2024,ASPLOS 2024,https://dl.acm.org/doi/10.1145/3620665.3640366,https://github.com/pytorch/pytorch,Compilers,动态字节码捕获与图编译,通过在运行时改写 Python 字节码来捕获计算图，在保留 eager 模式可调试性的同时获得图编译的收益。,此前「图模式」与「eager 模式」是二选一：图模式要求用户改写代码以适应 tracing/scripting 的限制，eager 模式则放弃全部图级优化。本文的做法是在 Python 字节码层面动态拦截：能编译的部分捕获成图，遇到无法处理的构造就**优雅回退**（graph break）到 eager，使「不改代码即可编译」成为可能；后端再把图降低成融合后的 kernel。,字节码级动态捕获 + graph break 回退；守卫（guard）机制：输入属性变化时重新编译；动态形状支持：把 batch 与序列长度作为符号量而非常量,LLM 推理的输入形状天然可变（batch 随调度变、序列长度随生成变），静态图编译在此处水土不服；动态形状支持是这条路线能否用于 LLM serving 的关键。另见本库模块 04 第 10 章：编译与 CUDA Graph 捕获的交互。,融合减少 kernel 启动次数与中间张量往返，对小算子密集的模型收益最大；在 decode 这种单步计算量小、启动开销占比高的场景下尤其相关。,本库未读原文，论文自述的加速比、模型数量与对比编译器结论一律未采信；完整作者名单未核实（人数众多）；graph break 使实际收益高度依赖具体代码写法——同一模型改一行 Python 可能让编译收益消失，且难以事先预判；重编译代价在形状频繁变化时可能盖过收益。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/06_compiler_runtime_and_kernel_papers.md
P-034,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,"Shoeybi, Mohammad; Patwary, Mostofa; Puri, Raul; LeGresley, Patrick; Casper, Jared; Catanzaro, Bryan",2019,arXiv preprint,https://arxiv.org/abs/1909.08053,https://github.com/NVIDIA/Megatron-LM,Distributed Inference,张量并行,给出 Transformer 层内矩阵乘的切分方式，使单层的计算可以跨多个设备并行，且每层只需两次集合通信。,把 MLP 的第一个权重矩阵按列切、第二个按行切，则中间激活无需通信，只在层末做一次 all-reduce；注意力则按头切分，各设备算各自的头，同样在输出投影后 all-reduce。这套切法的精妙之处在于**通信点的位置由切分方向决定**，选对方向即可把每层的通信压到常数次。,列切 + 行切的配对使中间激活无需通信；注意力按头切分；每层前向 1 次 all-reduce（推理侧）；通信量 ∝ batch × 序列长度 × 隐藏维度，与设备数无关,张量并行是 LLM 推理拆分单层的标准手法。但注意：**推理侧的通信占比结构与训练不同**——decode 每步的计算量极小而通信量不变，因此通信占 TPOT 的比例远高于训练中的占比（见本库模块 08 与 06 第 2 章的量化分析）。,每层两次集合通信意味着延迟被放大 2L 倍（L 为层数），因此张量并行强绑定高带宽低时延的 scale-up 域，跨节点做张量并行通常得不偿失。,本库未读原文，论文自述的扩展效率与模型规模均未采信；**这是一篇训练论文**，其收益论证建立在计算量大、通信可被计算掩盖的前提上；decode 阶段该前提不成立，直接引用其扩展性结论是越界；注意力按头切分要求 KV 头数能被并行度整除——与 MQA/GQA 存在结构冲突（见本模块第 02 章 P-007、P-008）。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/07_distributed_and_moe_inference_papers.md
P-035,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,"Huang, Yanping; Cheng, Youlong; Bapna, Ankur; Firat, Orhan; Chen, Dehao; Chen, Mia Xu; Lee, HyoukJoong; Ngiam, Jiquan; et al.",2019,NeurIPS 2019,https://proceedings.neurips.cc/paper/2019/hash/093f65e080a295f8076b1c5722a46aa2-Abstract.html,待核实,Distributed Inference,流水线并行,把模型按层切到不同设备上，并用微批切分填充流水线，使层间的串行依赖不至于让大部分设备闲置。,按层切分后，设备之间形成串行依赖：设备 2 必须等设备 1 算完。若只送一个批次进去，任一时刻只有一个设备在工作。GPipe 把 mini-batch 再切成微批依次送入，使不同微批在不同设备上同时推进，从而填充流水线；首尾仍有无法填充的空档，即流水线气泡。,气泡占比 ≈ (P−1)/(P−1+M)，P 为流水级数、M 为微批数；增大 M 可摊薄气泡，但受显存与批大小约束；层间通信量仅为一层激活，远小于张量并行的每层 all-reduce,流水线并行的通信量小、对互连要求低，因此可跨节点；但它**不降低单请求延迟**——请求仍要串行走完所有流水级，它提高的是吞吐。这一区分在容量规划时极其重要，常被误当作「拆得越多越快」。,与张量并行形成互补：张量并行降延迟但吃带宽，流水线并行省带宽但不降延迟；实际部署通常是两者的组合，组合方式由互连拓扑决定（见本库模块 06 第 9 章）。,本库未读原文，论文自述的扩展效率与模型规模均未采信；**这是一篇训练论文**：其气泡分析建立在训练的前向-反向结构上，推理只有前向，气泡结构与之不同，公式需重推；在 decode 场景下每个微批只有一个 token，流水线填充效率与训练时差异很大；未确认官方开源实现。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/07_distributed_and_moe_inference_papers.md
P-036,Alpa: Automating Inter- and Intra-Operator Parallelism for Distributed Deep Learning,"Zheng, Lianmin; Li, Zhuohan; Zhang, Hao; Zhuang, Yonghao; Chen, Zhifeng; Huang, Yanping; Wang, Yida; Xu, Yuanzhong; et al.",2022,OSDI 2022,https://arxiv.org/abs/2201.12023,https://github.com/alpa-projects/alpa,Distributed Inference,并行策略自动搜索,把纷繁的并行方式统一成「算子内并行」与「算子间并行」两个层级，并在这个两层结构上自动搜索最优组合，取代人工拼装。,数据并行、张量并行、流水线并行长期被当作三种并行手段并列讨论，组合方式靠经验拼装。本文指出它们可以归成两类：**算子内并行**（把单个算子的计算切开，通信频繁但延迟低）与**算子间并行**（把不同算子放到不同设备，通信少但有依赖）。两层各自建立代价模型，用整数规划与动态规划在联合空间中搜索。,并行策略的二分：intra-operator vs inter-operator；两层分别求解再耦合，避免联合空间的组合爆炸；代价模型同时计入计算、通信与设备网格的带宽层级,它提供的**分类框架**比它的搜索算法更有长期价值——「这是算子内还是算子间并行」这一问一答，就能确定通信频率与对互连的要求，进而确定该策略能不能跨节点用。,代价模型显式建模设备网格的带宽层级（节点内高带宽域 vs 跨节点），这正是本库模块 08 第 6 章 scale-up/scale-out 讨论的量化版本。,本库未读原文，论文自述的搜索质量与端到端加速均未采信；**面向训练**：其代价模型以训练的计算/通信比为基准，而 decode 的计算量远小于训练，通信占比结构完全不同，结论需重推；搜索本身有成本，且结果与设备网格绑定，集群拓扑变化后需重新搜索。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/07_distributed_and_moe_inference_papers.md
P-037,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,"Shazeer, Noam; Mirhoseini, Azalia; Maziarz, Krzysztof; Davis, Andy; Le, Quoc V.; Hinton, Geoffrey E.; Dean, Jeff",2017,ICLR 2017,https://arxiv.org/abs/1701.06538,待核实,MoE Serving,稀疏门控 MoE 的起点,用可学习的门控网络为每个 token 只激活少数专家，使模型参数量可以远大于每 token 的实际计算量。,在前馈层的位置放置多个并行的专家网络与一个门控网络；门控为每个 token 输出专家权重，只取 top-k 个专家实际计算。于是参数量随专家数增长，而每 token 的 FLOP 基本不变。论文同时指出一个必须处理的问题：门控会自我强化地偏向少数专家，因此需要额外的负载均衡损失把 token 摊开。,总参数 ∝ 专家数，每 token FLOP ∝ k（激活专家数）；top-k 门控；负载均衡辅助损失以对抗门控的自我强化,它奠定了「稠密参数 vs 激活参数」这一对区分，而**推理的显存占用由前者决定、算力占用由后者决定**——这正是 MoE 推理最反直觉的地方：省的是算力，不是显存。同时，负载均衡损失只作用于训练期，**推理期的专家负载不均衡是一个独立且长期存在的工程问题**（见本库模块 06 第 6 章）。,专家分布在不同设备上时，门控结果决定通信模式——这是 all-to-all 通信在推理栈中出现的根源。,本库未读原文，论文自述的参数规模与质量提升均未采信；**面向训练**，未讨论推理期的专家放置、负载倾斜与缓存问题；负载均衡损失改善的是训练期的期望负载，线上单批次的瞬时倾斜仍会造成落后者效应；未确认官方开源实现。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/07_distributed_and_moe_inference_papers.md
P-038,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,"Fedus, William; Zoph, Barret; Shazeer, Noam",2022,JMLR 2022,https://jmlr.org/papers/v23/21-0998.html,待核实,MoE Serving,top-1 路由与容量因子,把 MoE 路由简化到每 token 只走一个专家，并用显式的专家容量上限把不规则的路由变成规整的定形计算。,top-k 路由（k>1）带来更复杂的组合与更大的通信量。本文指出 k=1 即可，路由因此大幅简化。更关键的是引入**容量因子**：每个专家预设一个固定的 token 容量，超出的 token 被丢弃（跳过该层的专家计算，走残差直连）。这一步把「每个专家收到多少 token」从数据相关的变量变成了常量，使计算形状固定、通信规整——**代价是丢 token**。,容量 = 容量因子 × (总 token 数 / 专家数)；容量因子在「丢 token」与「算空位」之间取舍；top-1 路由使每 token 的通信目的地唯一,容量因子是 MoE 推理最重要也最容易被忽视的旋钮：调低则丢 token（质量损失），调高则大量专家算的是填充（算力浪费）。而**线上流量的路由分布与训练集不同**，按训练期整定的容量因子在线上未必合适——这是 MoE 服务需要专门观测路由分布的原因（见本库模块 06 第 6 章）。,定形计算使 all-to-all 的消息大小固定，对集合通信实现友好；但固定容量意味着无论实际负载如何，通信量都按最坏情况付。,本库未读原文，论文自述的参数规模、加速与质量结论一律未采信；**面向训练**：丢 token 在训练中可被后续步骤补偿，在推理中则是**当次请求的质量直接损失且不可恢复**——这一差别足以让训练期的容量因子结论无法直接搬到推理；未确认官方开源实现。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/07_distributed_and_moe_inference_papers.md
P-039,MegaBlocks: Efficient Sparse Training with Mixture-of-Experts,"Gale, Trevor; Narayanan, Deepak; Young, Cliff; Zaharia, Matei",2023,MLSys 2023,https://arxiv.org/abs/2211.15841,https://github.com/databricks/megablocks,MoE Serving,块稀疏 MoE，取消容量上限,把 MoE 计算重新表述为块稀疏矩阵乘，从而在保持 GPU 效率的同时**取消容量上限**，不再需要丢 token 或填充。,容量因子的存在，根源是稠密矩阵乘要求规整形状。本文换一种表述：把「不同专家处理不同数量 token」这件事写成一个块稀疏矩阵乘——每个块对应一个专家的一批 token，块的数量可变而块内规整。配套的块稀疏 kernel 使这种不规整结构仍能高效跑在 GPU 上。于是每个专家收多少 token 就算多少，既不丢弃也不填充。,MoE 前向 ≡ 块稀疏矩阵乘；块内规整、块间可变 → 兼顾灵活性与 GPU 效率；取消容量因子即取消「丢 token」与「算填充」这对取舍,对推理而言，取消丢 token 直接消除了一类**静默的质量损失**——被丢的 token 不会报错，只会让输出悄悄变差，线上极难发现。代价是每步的计算量随实际路由分布波动，使 TPOT 的方差上升，这对紧 SLO 的服务是新的调度难题。,块稀疏 kernel 是这条路线的可行性前提，其效率与硬件的矩阵引擎粒度相关；变长计算也使 CUDA Graph 一类的定形捕获更难施加。,本库未读原文，论文自述的吞吐与质量结论均未采信；**面向训练**，推理侧的延迟方差问题未在其目标函数内；依赖专用块稀疏 kernel，移植到新硬件或新框架的成本高；计算量随路由分布波动，容量规划需按分位数而非均值做。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/07_distributed_and_moe_inference_papers.md
P-040,Roofline: An Insightful Visual Performance Model for Multicore Architectures,"Williams, Samuel; Waterman, Andrew; Patterson, David A.",2009,Communications of the ACM 2009,https://dl.acm.org/doi/10.1145/1498765.1498785,待核实,Hardware Architecture,性能上界模型,用一张二维图把峰值算力、内存带宽与算术强度联系起来，使「这段代码受什么限制」成为可以一眼判断的问题。,横轴取算术强度（每字节访存对应的运算数），纵轴取可达性能。带宽给出一条斜率为带宽的斜屋顶，峰值算力给出一条水平屋顶，二者的下包络即为性能上界。两条屋顶的交点是机器平衡点：算术强度低于它则受带宽限制，高于它则受算力限制。,"可达性能 = min(峰值算力, 算术强度 × 带宽)；机器平衡点 I* = 峰值算力 / 带宽；它给出的是**上界**而非预测值",本库自始至终使用的分析框架。LLM decode 的算术强度约为 2/b_w（b_w 为权重位宽字节数），远低于当代加速器的机器平衡点，**这一个不等式就确定了 decode 是带宽受限的**，并进而决定了批处理、量化、投机解码为什么各自有效。,机器平衡点是纯硬件属性，随代际变化；算力增速持续快于带宽增速使 I* 上升，即同一 workload 在新硬件上更容易落进带宽受限区。,本库未读原文，论文中的具体平台与实测数据均未采信；它给出的是上界，**达不到上界不代表模型错了**，把 roofline 当性能预测器使用是常见误用；单条屋顶忽略了缓存层次，需用分层 roofline 才能刻画片上存储的作用；对延迟受限、同步受限的场景无解释力。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/08_hardware_and_architecture_papers.md
P-041,In-Datacenter Performance Analysis of a Tensor Processing Unit,"Jouppi, Norman P.; Young, Cliff; Patil, Nishant; Patterson, David; Agrawal, Gaurav; Bajwa, Raminder; Bates, Sarah; Bhatia, Suresh; et al.",2017,ISCA 2017,https://arxiv.org/abs/1704.04760,待核实,Hardware Architecture,推理专用 ASIC 的首个公开剖析,公开剖析一款已在生产数据中心服役的推理专用 ASIC，并指出其性能主要受**内存带宽**而非算力限制。,以脉动阵列作为矩阵乘单元，配以软件管理的大容量片上存储，去掉了通用处理器中为延迟隐藏而存在的乱序执行、多级缓存、预测执行等结构——推理是可预测的批处理式负载，这些结构的收益低于其面积与功耗代价。论文同时用 roofline 分析指出多数被测负载落在带宽受限一侧。,脉动阵列：数据在 PE 之间流动，减少寄存器堆访问；软件管理片上存储替代硬件缓存；用 roofline 定位负载受限类型,**这是第一篇把「推理受带宽限制」写进体系结构主流叙事的论文**，其结论与本库模块 07 对 LLM decode 的分析同源；也确立了「为推理单独设计芯片」这一路线的合理性。,去掉延迟隐藏结构、换成大片上存储与确定性执行，是推理 DSA 与通用 GPU 的核心分野；本库模块 07 第 7 章对推理 ASIC 的讨论沿用这一分析框架。,本库未读原文，论文中的峰值算力、片上存储容量、功耗与对比结论一律未采信；被测负载为该芯片同期的生产模型（以 MLP、CNN、LSTM 为主），**与当代 LLM 的形状差异极大**，其定量结论不可外推；论文对比的 CPU/GPU 属同期产品，跨代际比较无意义。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/08_hardware_and_architecture_papers.md
P-042,Ten Lessons From Three Generations Shaped Google's TPUv4i: Industrial Product,"Jouppi, Norman P.; Yoon, Doe Hyun; Ashcraft, Matthew B.; Gottscho, Mark; Jablin, Thomas B.; Kurian, George; Laudon, James; Li, Sheng; et al.",2021,ISCA 2021,https://dl.acm.org/doi/10.1109/ISCA52012.2021.00010,待核实,Hardware Architecture,推理芯片的迭代经验,以三代量产经验总结推理加速器的设计教训，其中多数与算力无关，而与编译器兼容性、总拥有成本、多租户与散热等系统性约束有关。,本文体裁是工业产品经验总结而非单点技术创新。其价值在于把「什么真正约束了推理芯片」摊开：半导体各项工艺的进步速度不均衡（逻辑快于线延迟与 SRAM），对 VLIW 类 DSA 而言编译器兼容性比二进制兼容性更关键，应按总拥有成本而非采购单价选型，以及**应用约束的是时延而不是批大小**。,工艺进步不均衡 → 设计瓶颈随代际迁移；编译器兼容性 > 二进制兼容性（VLIW 类 DSA）；TCO 而非采购价；应用给出的是时延约束，批大小是可调量,「应用限制时延而非批大小」这一条与本库模块 07 第 13 章的 B_SLO 反解是同一件事：批大小不是自变量，它是由时延预算反推出来的因变量。「支持多租户」则对应本库模块 03 第 6 章的隔离问题。,推理 DSA 需要风冷这一条，直接关联本库模块 09 的散热与机架密度讨论；工艺进步不均衡则解释了为什么片上存储容量的增长慢于算力。,本库未读原文，论文中的芯片规格、能效比与代际对比数据一律未采信；**经验教训的可迁移性受限于 Google 自身的负载结构与部署模式**，其他厂商的约束排序可能不同；论文时点早于 LLM 主导的推理负载，部分结论需在长上下文场景下重新评估。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/08_hardware_and_architecture_papers.md
P-043,TPU v4: An Optically Reconfigurable Supercomputer for Machine Learning with Hardware Support for Embeddings,"Jouppi, Norman P.; 等（完整作者名单 待核实）",2023,ISCA 2023,https://arxiv.org/abs/2304.01433,待核实,Hardware Architecture,光路交换可重构互连,用光路交换机让机群的互连拓扑可在作业之间重新配置，使拓扑成为一个可调参数而不是建成即固定的物理事实。,传统机群的互连拓扑在部署时就被布线固定，而不同作业对拓扑的需求不同（有的要环、有的要网格）。本文用光路交换机在机柜之间建立可重配置的连接：光路交换只做物理层的路径切换，不解析分组，因此不受电域交换机的带宽与功耗约束，但切换有毫秒量级的时间尺度，只适合作业级而非分组级的重配置。,光路交换：物理层路径切换，不解析分组、不受线速约束；重配置时间尺度决定它只能做作业级而非分组级调度；拓扑从固定资产变为可调参数,对推理的直接意义有限（推理作业通常不需要重配拓扑），**但它确立的判据是通用的**：光路交换省的是电域交换机的功耗与成本，代价是失去分组级的灵活性——这与本库模块 08 第 7 章对拓扑选择的分析是同一套取舍。,同时涉及故障隔离：拓扑可重构意味着坏掉的机柜可以被绕开，而不是让整个作业等待维修。,本库未读原文，论文中的规模、能效、成本与对比结论一律未采信；**面向训练**：其收益论证建立在长时运行、拓扑需求稳定的训练作业上，推理作业的生命周期短、拓扑需求单一，重配置收益不成立；完整作者名单未核实。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/08_hardware_and_architecture_papers.md
P-044,Eyeriss: A Spatial Architecture for Energy-Efficient Dataflow for Convolutional Neural Networks,"Chen, Yu-Hsin; Emer, Joel S.; Sze, Vivienne",2016,ISCA 2016,https://dl.acm.org/doi/10.1145/3007787.3001177,待核实,Hardware Architecture,数据流分类与能耗建模,把加速器的数据流按「哪一类数据留在原地」分类，并指出决定能耗的是数据搬运而非乘加运算本身。,在空间阵列上，同一份计算可以有多种数据编排方式：权重驻留、输出驻留、输入驻留，本文另提出行驻留。关键论点是**能耗由数据在存储层次间的搬运主导**——从片外 DRAM 取一个数的能耗比一次乘加高出若干数量级，因此数据流的选择应以最小化搬运为目标，而不是最大化 PE 利用率。,数据流分类：weight/output/input/row-stationary；能耗 ≈ Σ(各级存储访问次数 × 单次访问能耗)，DRAM 项主导；复用机会由数据流决定，而非由算法决定,**「能耗由搬运主导」这一结论跨架构成立**，它是本库模块 01 第 7 章 J/token 分析的物理基础；也解释了为什么 FlashAttention 一类以访存量为优化目标的工作有效——同一逻辑在 GPU 上的体现。,数据流分类是理解脉动阵列、NPU 与各类矩阵引擎的通用语言；本库模块 10 第 2 章讨论端侧 NPU 的存储约束时沿用这一框架。,本库未读原文，论文中的能耗数字、芯片规格与网络对比均未采信；**面向 CNN**：其复用结构（卷积的滑窗复用）在 Transformer 中不存在，数据流分类可迁移但具体的最优选择不可迁移；LLM decode 的权重复用度极低（每权重只用一次），这是 CNN 加速器经验最容易失效的地方。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/08_hardware_and_architecture_papers.md
P-045,The Tail at Scale,"Dean, Jeffrey; Barroso, Luiz André",2013,Communications of the ACM 2013,https://dl.acm.org/doi/10.1145/2408776.2408794,待核实,Datacenter Systems,尾延迟的放大机理与容忍手段,指出在需要多个组件共同响应的系统里，单机的罕见慢响应会被**放大**成整体的常见慢响应，并给出一组容忍（而非消除）延迟波动的工程手段。,若一次用户请求需要 n 个组件各自响应才能返回，且每个组件独立地以概率 p 出现慢响应，则整体出现慢响应的概率为 1−(1−p)^n。n 稍大时这个值就接近 1——**单机的 P99 变成整体的常态**。论文因此主张：延迟波动无法根除，系统应当设计成能容忍它，手段包括对冲请求、微分区、选择性复制与探测式重发。,尾延迟放大：P(整体慢) = 1 − (1−p)^n；对冲请求（hedged request）：延迟一小段后向副本重发；容忍而非消除：把波动当作常态而非故障,这个放大公式在推理栈里出现了不止一次：张量并行下每层两次集合通信、L 层共 2L 次，任一 rank 抖动都会拖住整步——本库模块 08 的抖动放大 1−(1−p)^{2L} 与本文是同一个式子；MoE 的 all-to-all、投机解码的树形验证同理。,它解释了为什么大规模系统必须按分位数而非均值做容量规划，以及为什么单点的「偶尔慢一下」在集群尺度上不可接受。,本库未读原文，论文中的具体服务、分位数与实测改善均未采信；独立性假设在实际系统中常不成立——共享资源（网络、存储、电源）会让慢响应**相关**，此时放大更严重而非更轻；对冲请求以额外资源换尾延迟，在资源紧张时会加剧拥塞，形成正反馈。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/09_networking_and_datacenter_papers.md
